date,initial_claims,claims_4wk_avg
2025-06-07,246000.0,237750.0
2025-06-14,243000.0,242250.0
2025-06-21,236000.0,242250.0
2025-06-28,231000.0,239000.0
2025-07-05,228000.0,234500.0
2025-07-12,221000.0,229000.0
2025-07-19,218000.0,224500.0
2025-07-26,219000.0,221500.0
2025-08-02,226000.0,221000.0
2025-08-09,224000.0,221750.0
2025-08-16,233000.0,225500.0
2025-08-23,229000.0,228000.0
2025-08-30,236000.0,230500.0
2025-09-06,259000.0,239250.0
2025-09-13,233000.0,239250.0
2025-09-20,219000.0,236750.0
2025-09-27,225000.0,234000.0
2025-10-04,233000.0,227500.0
2025-10-11,222000.0,224750.0
2025-10-18,231000.0,227750.0
2025-10-25,221000.0,226750.0
2025-11-01,228000.0,225500.0
2025-11-08,228000.0,227000.0
2025-11-15,222000.0,224750.0
2025-11-22,218000.0,224000.0
2025-11-29,216000.0,221000.0
2025-12-06,235000.0,222750.0
2025-12-13,224000.0,223250.0
2025-12-20,215000.0,222500.0
2025-12-27,203000.0,219250.0
2026-01-03,207000.0,212250.0
2026-01-10,201000.0,206500.0
2026-01-17,210000.0,205250.0
2026-01-24,211000.0,207250.0
2026-01-31,230000.0,213000.0
2026-02-07,230000.0,220250.0
2026-02-14,208000.0,219750.0
2026-02-21,211000.0,219750.0
2026-02-28,214000.0,215750.0
2026-03-07,213000.0,211500.0
2026-03-14,205000.0,210750.0
2026-03-21,211000.0,210750.0
2026-03-28,203000.0,208000.0
2026-04-04,218000.0,209250.0
2026-04-11,208000.0,210000.0
2026-04-18,215000.0,211000.0
2026-04-25,190000.0,207750.0
2026-05-02,199000.0,203000.0
2026-05-09,212000.0,204000.0
2026-05-16,210000.0,202750.0
2026-05-23,212000.0,208250.0
2026-05-30,225000.0,214750.0
2026-06-06,230000.0,219250.0
2026-06-13,227000.0,223500.0
2026-06-20,216000.0,224500.0
2026-06-27,217000.0,222500.0
2026-07-04,217000.0,219250.0
2026-07-11,209000.0,214750.0
2026-07-18,189000.0,208000.0
2026-07-25,198000.0,203250.0
2026-08-01,200000.0,199000.0
2026-08-08,212000.0,199750.0
2026-08-15,207000.0,204250.0
2026-08-22,204000.0,205750.0
2026-08-29,206000.0,207250.0
