date,pce_headline,pce_core,saving_rate,payems,unrate,real_pce,pce_headline_mom,pce_headline_yoy,pce_core_mom,pce_core_yoy,real_pce_mom,real_pce_yoy,payroll_change_k,fed_target_upper,reconstructed_july
2023-10-01,121.484,120.241,5.4,156576.0,3.9,118.361,0.05353363147448942,3.0232617305099296,0.15242632727514582,3.4740628549791763,0.2693933566581652,2.427394510021119,159.0,5.5,False
2023-11-01,121.493,120.374,5.6,156703.0,3.7,118.783,0.007408382996931806,2.7650899986466193,0.11061118919502011,3.2907438711504255,0.35653635910477544,3.0681926644511304,127.0,5.5,False
2023-12-01,121.66,120.592,5.6,156857.0,3.8,119.267,0.13745647897409619,2.7672658467360334,0.18110223137888237,3.1123879882344996,0.4074657147908223,3.5789345700241393,154.0,5.5,False
2024-01-01,122.23,121.217,6.4,157032.0,3.7,118.833,0.4685188229492043,2.6987514493606035,0.5182765025872449,3.159014510020852,-0.3638894245684088,1.8845115102670729,175.0,5.5,False
2024-02-01,122.598,121.537,6.1,157238.0,3.9,119.356,0.30107174997955344,2.705057426970159,0.26398937442768666,3.059467984974007,0.4401134365033199,2.3970076011049946,206.0,5.5,False
2024-03-01,123.038,122.009,5.9,157466.0,3.9,119.756,0.3588965562244084,2.9279392327126175,0.3883591005208187,3.122173857921662,0.3351318743925802,2.7260718145790674,228.0,5.5,False
2024-04-01,123.341,122.304,5.8,157530.0,3.9,119.974,0.24626538142686893,2.826154012888593,0.2417854420575516,3.006720905553606,0.18203680817663326,2.5962475841899035,64.0,5.5,False
2024-05-01,123.348,122.383,5.8,157608.0,3.9,120.53,0.005675322885334566,2.6616729088639213,0.06459314495028678,2.7711764063720334,0.4634337439778591,3.1158031620012183,78.0,5.5,False
2024-06-01,123.539,122.677,5.7,157695.0,4.1,120.87,0.15484645069234748,2.548373440470164,0.2402294436318897,2.7531619063573265,0.28208744710860323,3.0821450501467007,87.0,5.5,False
2024-07-01,123.736,122.911,5.3,157748.0,4.2,121.317,0.1594638130469006,2.594376777467322,0.19074480138900896,2.8062163337682744,0.3698188136013858,2.9715828070890016,53.0,5.5,False
2024-08-01,123.889,123.128,5.2,157757.0,4.2,121.482,0.12365035236308053,2.412994957427461,0.17655051215921258,2.873279917118543,0.13600731966665336,3.045159976928047,9.0,5.5,False
2024-09-01,124.164,123.466,4.8,157912.0,4.1,122.1,0.22197289509158225,2.260766436883843,0.2745110779026616,2.838627996468368,0.5087173408406143,3.436883169692395,155.0,5.0,False
