,headline_index,core_index,supercore_index,headline_yoy,core_yoy,supercore_yoy,headline_1m_ann,headline_3m_ann,headline_6m_ann,core_1m_ann,core_3m_ann,core_6m_ann
2022-07-01,294.913,295.088,375.06,8.462576727730099,5.899916740834321,5.539219134716844,-0.1788623471246642,9.100095485990977,8.947866452062868,4.319232230948278,6.44810422787534,5.894899218697813
2022-08-01,295.097,296.535,376.98,8.222579178218826,6.286089097732228,6.0651674202288675,0.7512698921049221,5.319591579986005,7.588300516739199,6.045669588007008,6.266817492978993,5.814207943939609
2022-09-01,296.349,298.226,379.634,8.192106896425821,6.624287624509306,6.650148049510918,5.211705365163177,1.9011381380845682,6.122068859388863,7.061794046715608,5.802828736380783,6.445432262971429
2022-10-01,298.007,299.399,381.58,7.758813957693,6.294999786983246,6.74492053856417,6.924195899955832,4.262994488169758,6.654126288272022,4.823366473012958,5.972989551867647,6.210281221531266
2022-11-01,298.786,300.325,383.179,7.122856456533988,5.969880665899807,6.817814352060925,3.1823332520682257,5.094938191632159,5.207204921842568,3.7752249573765884,5.2112307888780185,5.737706899920014
2022-12-01,298.832,301.394,384.906,6.404600402357152,5.685531944736666,7.049468932775982,0.18490412917973043,3.3938105412830266,2.644761047947397,4.355994026147836,4.317313799240385,5.057445648275349
2023-01-01,300.42,302.642,387.258,6.327178517960097,5.539533472591773,7.15584246687162,6.5665446025368945,3.2784009363718836,3.7695299573816676,5.0836505655805775,4.403584941649807,5.185360275082851
2023-02-01,301.45,304.123,390.07,5.957820738137087,5.498260329618088,7.2587386436129275,4.192715534155234,3.6144142068336604,4.352050563605903,6.0329418790928235,5.15528883780183,5.183256094233446
2023-03-01,301.821,305.147,392.024,4.917719362889961,5.566741392671326,7.128529969557684,1.4868997631078296,4.061338793874492,3.7270376899201763,4.116141419329189,5.074663799127843,4.695303981999621
2023-04-01,302.845,306.534,393.769,4.950079879124369,5.514364195873522,6.838413848303548,4.14812353316476,3.268118426839739,3.273259553632224,5.592864965484656,5.244114003140954,4.823006997202661
2023-05-01,303.334,307.652,395.295,4.131851231385042,5.337547036084689,6.566613737642779,1.9549254326209908,2.5234508116479315,3.067489046313887,4.465547262076797,4.722959561851758,4.938901560269682
2023-06-01,304.014,308.322,396.646,3.070617072997095,4.853596327155252,6.150445319859554,2.7235211031382267,2.9381880661957682,3.4982399037971845,2.6448728381947006,4.227336440383245,4.6501425472123215
2023-07-01,304.609,308.96,398.002,3.287749268428297,4.700970557935236,6.116887964592332,2.3740225017970795,2.3503406108246416,2.808205388607088,2.511574402809935,3.203497646868536,4.218811506704112
2023-08-01,306.082,309.58,399.219,3.722504803505289,4.399143440066089,5.899251949705553,5.959698740025443,3.6732691525900307,3.0967570316753568,2.4348353351788754,2.5303908094295835,3.6208761331265604
2023-09-01,307.276,310.539,401.234,3.687206638119256,4.128747996485882,5.689690596732633,4.782849132931299,4.361479819440595,3.647390881392032,3.7812867252275506,2.9073850793267075,3.565257914336617
